PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,1/24/25,00:49.0,1,1,"Hoover, Chase",800623,Left,SAN_GAU,"Sebring, Jonah",1,Right,GAU_ALU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.0084,-1.098134,-0.222841,2135.837673,174.636226,11:45,6.06336,-0.55963,6.53684,-11.31918,22.2808,-1.97106,4.11275,-0.92828,81.33171,-3.380208,-0.58091,0.417197,,,,,,,,,,,,0.93815,12.32446,0.57572,50,5.9815,0.59712,-132.00676,-2.70767,1.61797,34.02377,-10.91874,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,eb74ff60-daaf-11ef-b64c-2ba247267c32,90.34691,,,9.67669,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,00:49.0,2025-01-24T16:00:49.0163182-08:00,2025-01-25T00:00:49.0163182Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,398d403b-67e0-48a0-bb44-e2c7e5001ccc,53.95382,-133.02193,17.01189,6.05743,-2.38188,-5.45937,0.55862,0.54884,0.80899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,1/24/25,01:03.4,1,2,"Hoover, Chase",800623,Left,SAN_GAU,"Sebring, Jonah",1,Right,GAU_ALU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.36854,-3.504651,1.718631,2181.556928,147.649784,11:00,6.01495,-0.47514,6.38037,-13.52013,19.27832,-11.42536,1.65875,0.15424,83.06223,-6.148112,-0.350586,0.41219,,,,,,,,,,,,6.46831,11.53071,0.35602,50,5.7556,-3.52596,-133.76464,-8.50702,11.50415,33.80157,-11.66619,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,f40dc5d0-daaf-11ef-b64c-2ba247267c32,91.44422,,,9.30632,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,01:03.4,2025-01-24T16:01:03.4172910-08:00,2025-01-25T00:01:03.4172910Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,9d6f4556-5bb0-4fec-bc38-8db0a13c59f8,54.1133,-134.80004,16.90079,6.01072,-8.14967,-5.8331,0.46942,-3.87835,5.75207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,1/24/25,01:19.9,1,3,"Hoover, Chase",800623,Left,SAN_GAU,"Sebring, Jonah",1,Right,GAU_ALU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.38177,-2.722571,2.012153,2188.680699,152.900164,11:00,6.14297,-0.37914,6.24929,-12.61879,20.30233,-9.75394,2.57715,0.66444,82.97491,-5.205966,0.250861,0.412961,,,,,,,,,,,,5.66973,11.73697,0.23391,50,5.93392,-4.27578,-133.8183,-6.64709,10.09433,33.76627,-11.27771,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,fde72290-daaf-11ef-b64c-2ba247267c32,91.27371,,,9.40686,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,01:19.9,2025-01-24T16:01:19.9131118-08:00,2025-01-25T00:01:19.9131118Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,aa58cf17-1fb5-4fa9-8dad-846ea05d34aa,54.24387,-134.8849,16.88314,6.13826,-6.29085,-5.63886,0.37401,-4.59464,5.04717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,1/24/25,01:36.0,1,4,"Hoover, Chase",800623,Left,SAN_GAU,"Sebring, Jonah",1,Right,GAU_ALU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.33185,-1.887782,2.406329,2192.245632,164.5657,11:30,5.93813,-0.4836,6.53088,-14.09824,19.25375,-4.9678,3.02945,1.31105,81.9114,-4.660193,1.505051,0.415654,,,,,,,,,,,,3.37855,11.03493,0.31832,50,5.80041,-5.35426,-132.36779,-4.67373,5.87509,33.49215,-12.98503,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,07767e00-dab0-11ef-b64c-2ba247267c32,90.68217,,,9.42045,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,01:36.0,2025-01-24T16:01:36.0105966-08:00,2025-01-25T00:01:36.0105966Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,3bee5cfa-d0a1-40f9-9516-3902dc395943,53.96128,-133.36632,16.74608,5.93398,-4.2866,-6.49252,0.48056,-5.52942,2.93754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,1/24/25,01:52.3,1,5,"Hoover, Chase",800623,Left,SAN_GAU,"Sebring, Jonah",1,Right,GAU_ALU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.03371,-1.48845,0.583075,2270.689656,153.097208,11:00,6.13509,-0.35335,5.94452,-11.94493,21.68265,-10.34316,3.7587,-0.67443,82.24305,-3.856207,-1.275009,0.417368,,,,,,,,,,,,5.42044,11.91229,0.31229,50,6.00969,-0.88196,-133.33913,-3.72011,9.54182,34.60984,-11.20439,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,112f0c50-dab0-11ef-b64c-2ba247267c32,90.30986,,,9.79065,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,01:52.3,2025-01-24T16:01:52.3162094-08:00,2025-01-25T00:01:52.3162094Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,f4c9e2a0-266f-4c6c-88ac-ed9431cd1fc1,54.54678,-134.51413,17.30492,6.12953,-3.33973,-5.6022,0.34773,-1.2059,4.77091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,1/24/25,02:21.6,2,1,"Hoover, Chase",800623,Left,SAN_GAU,"Oakley, Nick",2,Left,GAU_ALU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.66716,-1.621293,1.306924,2240.389023,162.383642,11:30,6.10438,-0.28967,6.33736,-13.89461,19.33269,-5.74906,3.45301,0.43472,82.39113,-4.343772,0.266632,0.414876,,,,,,,,,,,,3.38339,10.89544,0.19693,50,5.97942,-2.78575,-132.94296,-4.08457,5.9508,33.07954,-13.01077,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,22a3e3c0-dab0-11ef-b64c-2ba247267c32,90.85221,,,9.27603,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,02:21.6,2025-01-24T16:02:21.5804398-08:00,2025-01-25T00:02:21.5804398Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,50c2d71e-4e40-4440-9fad-c4c0762559f0,54.15523,-133.97289,16.53977,6.10029,-3.67948,-6.50538,0.28655,-2.97103,2.9754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,1/24/25,02:33.9,2,2,"Hoover, Chase",800623,Left,SAN_GAU,"Oakley, Nick",2,Left,GAU_ALU,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7695,-5.022906,1.089798,2218.234937,157.244101,11:15,6.02778,-0.43011,6.57719,-10.17796,23.09635,-9.12764,0.56347,-0.19183,82.10258,-7.076073,-0.569432,0.41517,,,,,,,,,,,,5.14414,14.23343,0.35868,50,5.67761,-2.14889,-132.65515,-11.81165,8.93969,34.91982,-7.43867,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,29ef90c0-dab0-11ef-b64c-2ba247267c32,90.788,,,9.66692,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,02:33.9,2025-01-24T16:02:33.8502638-08:00,2025-01-25T00:02:33.8502638Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,4afb0bfc-8d5d-4e2d-ae5d-f48cdb35f956,53.91635,-133.6821,17.45991,6.02176,-11.59289,-3.71933,0.42575,-2.41179,4.46985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,1/24/25,02:57.8,2,3,"Hoover, Chase",800623,Left,SAN_GAU,"Oakley, Nick",2,Left,GAU_ALU,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.98095,1.355401,0.414612,2438.807503,217.006985,1:15,6.03032,-0.69555,6.06847,-32.3823,5.59205,3.21768,4.58632,-0.04373,77.64658,-4.704047,0.994061,0.443524,,,,,,,,,,,,-1.50386,2.89217,0.66189,50,6.11856,-1.03726,-124.74058,1.89346,-2.33967,28.04099,-27.67441,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,38406be0-dab0-11ef-b64c-2ba247267c32,84.98408,,,8.33436,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,02:57.8,2025-01-24T16:02:57.8562542-08:00,2025-01-25T00:02:57.8562542Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,307d7d1f-ea8f-4b1b-a5f7-0a3b19de4c18,54.42474,-125.7313,14.0205,6.03439,2.87123,-13.8372,0.69707,-0.9546,-1.16983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,1/24/25,03:15.3,2,4,"Hoover, Chase",800623,Left,SAN_GAU,"Oakley, Nick",2,Left,GAU_ALU,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.09391,-2.529207,0.910805,2198.64122,172.145749,11:45,6.21281,-0.25043,6.15999,-7.22122,25.27112,-3.31744,3.2728,0.31458,83.52247,-4.039022,0.312646,0.410263,,,,,,,,,,,,1.99012,14.1402,0.18285,50,6.01651,-1.99533,-134.89789,-6.00466,3.60193,34.214,-6.58166,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,429f2540-dab0-11ef-b64c-2ba247267c32,91.87394,,,9.57145,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,03:15.3,2025-01-24T16:03:15.2787950-08:00,2025-01-25T00:03:15.2787950Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,c4066ff9-1722-43cc-bd15-759ce3d78be3,54.33221,-135.99223,17.107,6.2052,-5.79414,-3.29083,0.24852,-2.11054,1.80097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,1/24/25,03:30.1,2,5,"Hoover, Chase",800623,Left,SAN_GAU,"Oakley, Nick",2,Left,GAU_ALU,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.25858,-4.735366,0.811818,2251.241462,160.967527,11:15,6.11764,-0.17624,6.27986,-10.87615,22.46029,-7.28083,0.83636,-0.03469,82.37633,-6.90777,-0.504462,0.415557,,,,,,,,,,,,4.04882,13.70036,0.11964,50,5.76212,-1.57683,-133.32539,-11.24509,7.09517,35.72267,-8.16546,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,4b778cc0-dab0-11ef-b64c-2ba247267c32,90.70334,,,9.88225,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,03:30.1,2025-01-24T16:03:30.1110766-08:00,2025-01-25T00:03:30.1110766Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,5481b27f-a806-4231-8f43-c41c1a771a21,54.21326,-134.44954,17.86133,6.11194,-10.98813,-4.08273,0.17278,-1.80011,3.54759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
